ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,neg,nan,0,0,891.341069627,223.089808274,1
1,2,neg,nan,0,0,183.730305363,259.264049269,2
1,3,neg,nan,0,0,782.493670886,291.597688498,3
1,4,neg,nan,0,0,951.350991934,394.067800305,4
1,5,neg,nan,0,0,329.658914729,466.110697674,5
1,6,neg,nan,0,0,698.565701559,549.275426875,6
1,7,neg,nan,0,0,578.96715987,607.38830747,7
1,8,neg,nan,0,0,804.287803669,669.572880516,8
1,9,neg,nan,0,0,569.571586818,694.21489892,9
1,10,neg,nan,0,0,150.799242424,680.693009642,10
1,11,neg,nan,0,0,651.237088157,718.542965272,11
1,12,neg,nan,0,0,314.745759162,772.759371728,12
1,13,neg,nan,0,0,719.92042186,771.048897411,13
1,14,neg,nan,0,0,935.555824655,774.907483652,14
1,15,neg,nan,0,0,203.174962853,787.203751857,15
1,16,neg,nan,0,0,351.280600158,898.176098973,16
1,17,neg,nan,0,0,755.693064555,906.582673386,17
1,18,neg,nan,0,0,122.000983091,954.335430594,18
1,19,neg,nan,0,0,267.384195122,943.158439024,19
1,20,neg,nan,0,0,701.318237755,987.915087374,20
