ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Series,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Distance_Centroid_Cells,Intensity_IntegratedIntensityEdge_Golgi,Intensity_IntegratedIntensity_Golgi,Intensity_LowerQuartileIntensity_Golgi,Intensity_MADIntensity_Golgi,Intensity_MassDisplacement_Golgi,Intensity_MaxIntensityEdge_Golgi,Intensity_MaxIntensity_Golgi,Intensity_MeanIntensityEdge_Golgi,Intensity_MeanIntensity_Golgi,Intensity_MedianIntensity_Golgi,Intensity_MinIntensityEdge_Golgi,Intensity_MinIntensity_Golgi,Intensity_StdIntensityEdge_Golgi,Intensity_StdIntensity_Golgi,Intensity_UpperQuartileIntensity_Golgi,Location_CenterMassIntensity_X_Golgi,Location_CenterMassIntensity_Y_Golgi,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_Golgi,Location_MaxIntensity_Y_Golgi,Number_Object_Number,Parent_Cells
1,1,neg,nan,0,0,34,881,175,1.1511606299,0.7282659741,1,0.6071428571,0.6631886753,8.3235188615,7.6157731059,2.2360679775,1.3777578484,1,5.2696518641,5.7040624206,27.348834297,25.382,0.8607594937,48.7470594545,8.8398048878,15.7538464963,0.2365079448,0.2090354264,0.1094672288,0.7645909786,0.9931623936,0.3535921955,0.4633484264,0.4207570255,0.1184371188,0.1184371188,0.1803371161,0.2513388445,0.6706959903,880.03962054,173.861374635,880.147058824,173.882352941,878,173,1,1
1,2,neg,nan,0,0,505,868,189,1.1412585471,0.6781266127,-2,0.5844907407,0.2550713155,30.8991580879,34.0147027034,8.5440037453,2.9699802356,2.2360679775,24.9067491625,22.7091847701,-15.002684696,157.732,0.7841614907,39.761006991,35.402198717,219.420517117,0.1789987832,0.1695970744,1.5941145509,0.8478632569,1,0.2171914032,0.4344960735,0.3177045286,0.1167277172,0.1167277172,0.1401347403,0.2917841164,0.6556166261,870.382183301,188.155012599,871.873267327,188.718811881,870,185,2,1
1,3,neg,nan,0,0,401,158,236,1.1960179057,0.779350354,1,0.5624123422,0.4349982964,29.6508325395,30.2654919008,8.2462112512,3.0258145641,2.8284271248,18.7387079399,18.5788677825,18.7343634993,107.63,0.8183673469,29.9631786875,29.9457883015,217.127963923,0.2407203913,0.2835164815,0.8374862769,0.8954823017,1,0.2434616935,0.5414662442,0.4813186824,0.1181929186,0.1181929186,0.1570494752,0.3202836442,0.8827228397,159.751309988,236.160875859,160.588528678,236.182044888,157,232,3,2
1,4,neg,nan,0,0,373,759,272,1.2301665742,0.8092926507,0,0.5313390313,0.3586653812,29.5123427007,30.8058436015,7.2111025509,2.8583699722,2.2360679775,18.2584189626,17.3357170445,-57.5330384602,114.318,0.7885835095,28.7755810273,21.5257637724,145.046889491,0.1817460358,0.1568986624,0.7217103503,0.5106227398,1,0.1778988742,0.3888656555,0.3268620372,0.1167277172,0.1167277172,0.0704363317,0.2532366936,0.5102564394,760.436397972,271.025654645,760.193029491,271.705093834,757,269,4,3
1,5,neg,nan,0,0,990,986,416,1.2648873915,0.7855460025,-6,0.5641025641,0.1463749082,48.0104078872,52.4022900263,8,2.8764928967,2.2360679775,33.6561582226,29.7089970467,-50.182315678,291.534,0.765365288,45.1610980818,80.5477432311,415.372903131,0.2245421261,0.1589743644,0.2091181436,0.8568986654,1,0.2501482709,0.419568589,0.3623931706,0.1172161177,0.1172161177,0.1355132491,0.2360601277,0.5643467903,982.470790475,423.20772309,982.624242424,423.065656566,987,410,5,4
1,6,neg,nan,0,0,47,26,473,2.0253034442,0.9401508196,1,0.7230769231,0.5067347509,14.8141779923,12.1655250606,2.2360679775,1.3095697123,1,4,5.0480588333,2.1620979796,34.14,0.8173913043,nan,6.2798537016,9.0346767455,0.1426739991,0.039316237,0.1781520224,0.2891331017,0.3145299256,0.1744403806,0.1922271648,0.1758241802,0.1250305325,0.1250305325,0.0465886603,0.0568804554,0.240476191,28.7596832138,473.103359734,28.9361702128,473.127659574,31,473,6,0
1,7,neg,nan,0,0,305,341,484,1.1512286079,0.6963319544,0,0.6517094017,0.2890759701,24.339731983,25.2982212813,8,2.8258618389,2.2360679775,17,17.469109231,-0.902830934,115.146,0.7870967742,20.8292557958,27.8100129664,138.00732854,0.2145909667,0.1954823062,0.6392568896,0.8192918301,1,0.2505406574,0.4524830444,0.3930402994,0.1184371188,0.1184371188,0.1635938957,0.2763589224,0.6230769455,342.21370633,483.948428702,341.586885246,483.82295082,338,485,7,5
1,8,neg,nan,0,0,461,688,525,1.2115449584,0.7825839804,1,0.6548295455,0.3920391208,32.0468147693,32.0156211872,7.2111025509,3.0496835308,2.8284271248,20.4999282639,19.9505852432,-0.9882477954,121.56,0.8489871087,21.4233414049,34.1770460978,226.80342295,0.2349206358,0.2162393332,0.4627533715,0.9094017148,1,0.2670081726,0.4919813947,0.4252747297,0.11965812,0.11965812,0.1568300212,0.2886309304,0.7258241922,693.08870753,525.911340933,693.034707158,526.370932755,684,522,8,6
1,9,neg,nan,0,0,365,579,581,1.1988656811,0.8204004065,1,0.610367893,0.6025481645,29.0185461506,30.2324329157,7.2801098893,3.1866468268,2.8284271248,16.9272197726,16.5924984901,-41.0819546466,87.248,0.8774038462,19.5569409729,33.3584868163,220.231993571,0.3452381045,0.2652014792,0.3736092037,0.9899877906,1,0.3335848682,0.6033753249,0.5724053979,0.121855922,0.121855922,0.2004166201,0.2931176897,0.9122100174,580.656280974,580.617051623,580.728767123,580.983561644,585,582,9,7
1,10,neg,nan,0,0,381,672,692,1.1885905591,0.7197597814,0,0.5772727273,0.3347577051,27.9342575803,29.6141857899,8.0622577483,2.9909528647,2.8284271248,20.8777228247,19.3926098015,-72.2376071804,119.592,0.8046462513,28.8410770264,26.4879127517,172.759710506,0.2122710645,0.2058608085,0.3498381656,0.8913308978,1,0.2244738369,0.4534375604,0.4084249139,0.1167277172,0.1167277172,0.1364807192,0.2706635162,0.6504273713,670.845094565,693.112833268,671.002624672,693.42519685,676,698,10,11
